店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
結月庵 大崎ThinkParkTower店,050-5484-8517,,東京都,品川区,大崎2-1-1,ThinkPark 1F,,False
KICHIRI 秋葉原店,050-5485-3199,,東京都,千代田区,神田佐久間町1-13,chomp chomp AKIHABARA 3F,http://www.kichiri.com/,False
個室居酒屋 くいもの屋わん コビルナ町田店,050-5484-9243,,東京都,町田市,原町田6-9-19,コビルナ町田ビルB1,http://www.oizumifoods.co.jp/,False
海鮮と地鶏 個室居酒屋 囲炉裏 ～ゆるり～町田店,050-5488-8002,,東京都,町田市,中町1-16-14,,,False
創作和食×個室居酒屋 小林酒場 巣鴨店,050-5487-2832,,東京都,豊島区,巣鴨2-1-5,ボクサール巣鴨B1,,False
九州 熱中屋 御茶ノ水 LIVE,050-5485-0973,kouta@diamond-dining.com,東京都,千代田区,神田駿河台2-1-30,フジビルB1,https://www.dd-holdings.jp/shops/nechuya/ochanomizu,True
全席個室居酒屋 武虎 八重洲店,050-5492-5940,,東京都,中央区,京橋1-5-1,6F,,False
宿酒 きんきん,050-5487-8087,,東京都,江東区,門前仲町2-9-5,あづまビル1F,,False
個室居酒屋 くいもの屋わん 玉響 二子玉川店,050-5492-4831,,東京都,世田谷区,玉川2-24-7,萩原第2ビル3F,,False
四谷一丁目 もつ焼のんき,050-5487-4104,,東京都,新宿区,四谷1-23-14,第二菊重ビル1F,,False
やきとんうまいもん横丁まるたか 町屋店,050-5485-1506,,東京都,荒川区,町屋2-2-22,第5小田ビル2F,,False
浅草 魚料理 遠州屋,050-5484-3597,nfo-yoyaku@enshuuya.co.jp,東京都,台東区,寿2-2-7,遠州屋,http://www.enshuuya.co.jp/,False
完全個室居酒屋 九州さつき 六本木店,050-5486-4873,,東京都,港区,六本木3-11-10,ココ六本木ビル4F,,False
肉ト魚 個室居酒屋 彩月 亀戸店,080-9640-0714,,東京都,江東区,亀戸2-20-7,亀戸会館6F,,False
自由が丘 牛タン いろ葉,050-5487-1451,,東京都,目黒区,自由が丘1-12-9,自由が丘センタービル1F,,False
錦糸町 浜焼き 鳶助（とびすけ）,050-5494-0403,,東京都,墨田区,錦糸3-10-1,桐越ビル1F,,False
【個室居酒屋】120種食べ飲み放題2500円 鳥天国 池袋店,050-5488-3890,,東京都,豊島区,南池袋1-20-11,池第五ビル5F,,False
鳥元 中目黒店,050-5486-1186,,東京都,目黒区,上目黒3-8-5,中目黒サンライズビル1F,https://ramla-shop.com/torigen-nakameguro/,True
イタリアン＆ビストロ 荏原町 BISTRON（ビストロン）,050-5487-8639,,東京都,品川区,中延5-7-4,魚染ビル1F,,False
鶏豚問屋 串焼だるま 本店,050-5487-3271,,東京都,文京区,湯島3-40-5,,http://www.prantan.net/,False
やきとり専門店 両国TAIKO,050-5485-6112,,東京都,墨田区,両国4-19-7,1F,,False
鳥どり酒場,050-5485-4388,,東京都,台東区,上野6-7-7,,,False
大衆酒場 北海道ながまれ 外苑前,050-5486-2182,nagamare@theatres.co.jp,東京都,港区,北青山2-9-8,1F,http://www.theatres-dining.co.jp/,False
全席個室 湊一や 日本橋八重洲店,050-5485-4716,,東京都,中央区,日本橋2-3-4,日本橋プラザビル2F,http://minatoichiya.dkdining.com/nihonbashi/,False
府中 完全個室居酒屋 ゆずの助,050-5487-4444,,東京都,府中市,府中町2-2-2,5F,,False
鳥どり 日本橋店,03-3231-3681,,東京都,中央区,日本橋2-2-16,共立日本橋ビルB1,http://www.dynac-japan.com/shop/toridori/nihonbashi/,False
全席個室隠れ家ダイニング つばき 新宿本店,050-5484-9722,,東京都,新宿区,歌舞伎町1-23-13,3F,,False
焼鳥 BABE,050-5487-2799,,東京都,世田谷区,玉川3-9-10,,,False
北海道海鮮居酒屋と個室 魚寅水産 上野駅前店,050-5492-2967,,東京都,台東区,上野7-2-1,南大門上野駅前ビルB1,,False
上野 鳥福,050-5484-4739,,東京都,台東区,上野6-14-7,Delicious Plaza 3F,https://www.dd-holdings.jp/shops/torifuku/ueno,True
やきとり家 すみれ 調布駅前店,050-5487-8815,,東京都,調布市,布田1-52-3,原ビル2F,,False
呑み処 タナカたなか ハナレ,050-5485-4112,,東京都,世田谷区,北沢2-29-16,マガザン下北沢2F,,False
隠れ家個室×炭火鶏焼き×水炊き鍋 鶏まる,050-5492-7965,,東京都,板橋区,成増2-12-8,5F,,False
旨い焼き鳥と完全個室居酒屋 串ごろ 飯田橋店,050-5488-6441,,東京都,千代田区,飯田橋4-7-8,5F,,False
魚民 稲城長沼駅前店,042-378-6588,,東京都,稲城市,東長沼532,ジョイビル2F,https://www.monteroza.co.jp/shop.html?shop=802894,True
とり鉄 大森北口店,050-5485-4032,,東京都,品川区,南大井6-17-10,大森レインボービル,http://www.tori-tetsu.com/shop/247p/,False
